# addr	region	name  (STT_OBJECT in ROM)
0x082EDCEC	rom	sText_CantTransmitTrainerTooFar
0x082EDD24	rom	sText_TrainersNotReadyYet
0x082EDD50	rom	sCantTransmitToTrainerTexts
0x082EDD58	rom	sText_ModeWithTheseMembersWillBeCanceled
0x082EDD8C	rom	sText_MemberNoLongerAvailable
0x082EDDC4	rom	sPlayerUnavailableTexts
0x082EDDCC	rom	sText_TrainerAppearsUnavailable
0x082EDDF4	rom	sText_PlayerSentBackOK
0x082EDE0C	rom	sText_PlayerOKdRegistration
0x082EDE34	rom	sText_PlayerRepliedNo
0x082EDE48	rom	sText_AwaitingOtherMembers
0x082EDE64	rom	sText_QuitBeingMember
0x082EDE7C	rom	sText_StoppedBeingMember
0x082EDE9C	rom	sPlayerDisconnectedTexts
0x082EDEC4	rom	sText_WirelessLinkEstablished
0x082EDF04	rom	sText_WirelessLinkDropped
0x082EDF40	rom	sText_LinkWithFriendDropped
0x082EDF6C	rom	sText_PlayerRepliedNo2
0x082EDF80	rom	sLinkDroppedTexts
0x082EDFA8	rom	sText_DoYouWantXMode
0x082EDFC4	rom	sText_DoYouWantXMode2
0x082EDFE0	rom	sDoYouWantModeTexts
0x082EDFE8	rom	sText_CommunicatingPleaseWait
0x082EE004	rom	sText_AwaitingPlayersResponseAboutTrade
0x082EE02C	rom	sText_Communicating
0x082EE098	rom	sText_CommunicatingWithPlayer
0x082EE104	rom	sText_PleaseWaitAWhile
0x082EE17C	rom	sCommunicatingWaitTexts
0x082EE188	rom	sText_HiDoSomethingMale
0x082EE1B8	rom	sText_HiDoSomethingFemale
0x082EE1E0	rom	sText_HiDoSomethingAgainMale
0x082EE218	rom	sText_HiDoSomethingAgainFemale
0x082EE24C	rom	sHiDoSomethingTexts
0x082EE25C	rom	sText_DoSomethingMale
0x082EE274	rom	sText_DoSomethingFemale
0x082EE294	rom	sText_DoSomethingAgainMale
0x082EE2B8	rom	sText_DoSomethingAgainFemale
0x082EE2D8	rom	sDoSomethingTexts
0x082EE2E8	rom	sText_SomebodyHasContactedYou
0x082EE308	rom	sText_PlayerHasContactedYou
0x082EE324	rom	sPlayerContactedYouTexts
0x082EE32C	rom	sText_AwaitingResponseFromTrainer
0x082EE358	rom	sText_AwaitingResponseFromPlayer
0x082EE378	rom	sAwaitingResponseTexts
0x082EE380	rom	sText_ShowTrainerCard
0x082EE3DC	rom	sText_BattleChallenge
0x082EE430	rom	sText_ChatInvitation
0x082EE47C	rom	sText_OfferToTradeMon
0x082EE4F0	rom	sText_OfferToTradeEgg
0x082EE544	rom	sText_ChatDropped
0x082EE560	rom	sText_OfferDeclined1
0x082EE57C	rom	sText_OfferDeclined2
0x082EE598	rom	sText_ChatEnded
0x082EE5B0	rom	sInvitationTexts
0x082EE5C0	rom	sText_JoinChatMale
0x082EE5F8	rom	sText_PlayerJoinChatMale
0x082EE638	rom	sText_JoinChatFemale
0x082EE674	rom	sText_PlayerJoinChatFemale
0x082EE6B8	rom	sJoinChatTexts
0x082EE6C8	rom	sText_TrainerAppearsBusy
0x082EE6EC	rom	sText_WaitForBattleMale
0x082EE720	rom	sText_WaitForChatMale
0x082EE754	rom	sText_ShowTrainerCardMale
0x082EE78C	rom	sText_WaitForBattleFemale
0x082EE7C0	rom	sText_WaitForChatFemale
0x082EE7F8	rom	sText_ShowTrainerCardFemale
0x082EE82C	rom	sText_WaitOrShowCardTexts
0x082EE84C	rom	sText_WaitForChatMale2
0x082EE880	rom	sText_DoneWaitingBattleMale
0x082EE8B8	rom	sText_DoneWaitingChatMale
0x082EE8D4	rom	sText_DoneWaitingBattleFemale
0x082EE904	rom	sText_DoneWaitingChatFemale
0x082EE92C	rom	sText_TradeWillBeStarted
0x082EE94C	rom	sText_BattleWillBeStarted
0x082EE96C	rom	sText_EnteringChat
0x082EE984	rom	sStartActivityTexts
0x082EE9B4	rom	sText_BattleDeclinedMale
0x082EEA14	rom	sText_BattleDeclinedFemale
0x082EEA68	rom	sBattleDeclinedTexts
0x082EEA70	rom	sText_ShowTrainerCardDeclinedMale
0x082EEAC0	rom	sText_ShowTrainerCardDeclinedFemale
0x082EEB08	rom	sShowTrainerCardDeclinedTexts
0x082EEB10	rom	sText_IfYouWantToDoSomethingMale
0x082EEB4C	rom	sText_IfYouWantToDoSomethingFemale
0x082EEB80	rom	sIfYouWantToDoSomethingTexts
0x082EEB88	rom	sText_TrainerBattleBusy
0x082EEBD0	rom	sText_NeedTwoMonsOfLevel30OrLower1
0x082EEC14	rom	sText_NeedTwoMonsOfLevel30OrLower2
0x082EEC50	rom	sText_DeclineChatMale
0x082EEC7C	rom	stext_DeclineChatFemale
0x082EEC9C	rom	sDeclineChatTexts
0x082EECA4	rom	sText_ChatDeclinedMale
0x082EECEC	rom	sText_ChatDeclinedFemale
0x082EED3C	rom	sChatDeclinedTexts
0x082EED44	rom	sText_YoureToughMale
0x082EED6C	rom	sText_UsedGoodMoveMale
0x082EED98	rom	sText_BattleSurpriseMale
0x082EEDBC	rom	sText_SwitchedMonsMale
0x082EEDF4	rom	sText_YoureToughFemale
0x082EEE24	rom	sText_UsedGoodMoveFemale
0x082EEE4C	rom	sText_BattleSurpriseFemale
0x082EEE78	rom	sText_SwitchedMonsFemale
0x082EEEAC	rom	sBattleReactionTexts
0x082EEECC	rom	sText_LearnedSomethingMale
0x082EEEF0	rom	sText_ThatsFunnyMale
0x082EEF2C	rom	sText_RandomChatMale1
0x082EEF50	rom	sText_RandomChatMale2
0x082EEF7C	rom	sText_LearnedSomethingFemale
0x082EEFA0	rom	sText_ThatsFunnyFemale
0x082EEFBC	rom	sText_RandomChatFemale1
0x082EEFEC	rom	sText_RandomChatFemale2
0x082EF010	rom	sChatReactionTexts
0x082EF030	rom	sText_ShowedTrainerCardMale1
0x082EF06C	rom	sText_ShowedTrainerCardMale2
0x082EF090	rom	sText_ShowedTrainerCardFemale1
0x082EF0D0	rom	sText_ShowedTrainerCardFemale2
0x082EF100	rom	sTrainerCardReactionTexts
0x082EF110	rom	sText_MaleTraded1
0x082EF138	rom	sText_MaleTraded2
0x082EF178	rom	sText_FemaleTraded1
0x082EF198	rom	sText_FemaleTraded2
0x082EF1CC	rom	sTradeReactionTexts
0x082EF1EC	rom	sText_XCheckedTradingBoard
0x082EF20C	rom	sText_RegisterMonAtTradingBoard
0x082EF298	rom	sText_TradingBoardInfo
0x082EF3D4	rom	sText_ThankYouForRegistering
0x082EF438	rom	sText_NobodyHasRegistered
0x082EF47C	rom	sText_ChooseRequestedMonType
0x082EF4C4	rom	sText_WhichMonWillYouOffer
0x082EF4FC	rom	sText_RegistrationCanceled
0x082EF520	rom	sText_RegistrationCompleted
0x082EF544	rom	sText_TradeCanceled
0x082EF564	rom	sText_CancelRegistrationOfMon
0x082EF590	rom	sText_CancelRegistrationOfEgg
0x082EF5B8	rom	sText_RegistrationCanceled2
0x082EF5E0	rom	sText_TradeTrainersWillBeListed
0x082EF614	rom	sText_ChooseTrainerToTradeWith2
0x082EF65C	rom	sText_AskTrainerToMakeTrade
0x082EF688	rom	sText_AwaitingResponseFromTrainer2
0x082EF6B4	rom	sText_NotRegisteredAMonForTrade
0x082EF6E4	rom	sText_DontHaveTypeTrainerWants
0x082EF718	rom	sText_DontHaveEggTrainerWants
0x082EF740	rom	sText_PlayerCantTradeForYourMon
0x082EF774	rom	sText_CantTradeForPartnersMon
0x082EF7A8	rom	sCantTradeMonTexts
0x082EF7B0	rom	sText_TradeOfferRejected
0x082EF7D0	rom	sText_EggTrade
0x082EF7DC	rom	sText_ChooseJoinCancel
0x082EF7F8	rom	sText_ChooseTrainer
0x082EF814	rom	sText_ChooseTrainerSingleBattle
0x082EF844	rom	sText_ChooseTrainerDoubleBattle
0x082EF874	rom	sText_ChooseLeaderMultiBattle
0x082EF8A4	rom	sText_ChooseTrainerToTradeWith
0x082EF8D0	rom	sText_ChooseTrainerToShareWonderCards
0x082EF908	rom	sText_ChooseTrainerToShareWonderNews
0x082EF940	rom	sText_ChooseLeaderPokemonJump
0x082EF974	rom	sText_ChooseLeaderBerryCrush
0x082EF99C	rom	sText_ChooseLeaderBerryPicking
0x082EF9CC	rom	sText_ChooseLeaderBerryBlender
0x082EF9F8	rom	sText_ChooseLeaderRecordCorner
0x082EFA24	rom	sText_ChooseLeaderCoolContest
0x082EFA50	rom	sText_ChooseLeaderBeautyContest
0x082EFA7C	rom	sText_ChooseLeaderCuteContest
0x082EFAA8	rom	sText_ChooseLeaderSmartContest
0x082EFAD8	rom	sText_ChooseLeaderToughContest
0x082EFB08	rom	sText_ChooseLeaderBattleTowerLv50
0x082EFB3C	rom	sText_ChooseLeaderBattleTowerOpenLv
0x082EFB70	rom	sChooseTrainerTexts
0x082EFBC8	rom	sText_SearchingForWirelessSystemWait
0x082EFC00	rom	sText_MustHaveTwoMonsForDoubleBattle
0x082EFC3C	rom	sText_AwaitingPlayersResponse
0x082EFC54	rom	sText_PlayerHasBeenAskedToRegisterYouPleaseWait
0x082EFC90	rom	sText_AwaitingResponseFromWirelessSystem
0x082EFCCC	rom	sText_PleaseWaitForOtherTrainersToGather
0x082EFD04	rom	sText_NoCardsSharedRightNow
0x082EFD30	rom	sText_NoNewsSharedRightNow
0x082EFD58	rom	sNoWonderSharedTexts
0x082EFD60	rom	sText_Battle
0x082EFD68	rom	sText_Chat2
0x082EFD70	rom	sText_Greetings
0x082EFD7C	rom	sText_Exit
0x082EFD84	rom	sText_Exit2
0x082EFD8C	rom	sText_Info
0x082EFD94	rom	sText_NameWantedOfferLv
